Content title,URL,Image URL,Use case 1,Use case 2,Use case 3,Use case 4,Use case 5,Use case 6,Use case 7,Use case 8,Use case 9,Use case 10,Content type,Publication date (MM/DD/YYYY)
Amazon SageMaker JumpStart foundation models,https://docs.aws.amazon.com/sagemaker/latest/dg/jumpstart-foundation-models.html,https://docs.aws.amazon.com/images/sagemaker/latest/dg/images/jumpstart/jumpstart-fm-studio.png,text-generation,summarization-paraphrasing,search,chat,question-answering,image-generation,image-to-text-classification,personalization,,,jumpstart,2023
Image Generation (AWS Machine Learning Low-Code Immersion Day),https://catalog.us-east-1.prod.workshops.aws/workshops/f560a788-af64-4e5a-a02c-a6c88516ab02/en-US/gen-ai-lab/image-gen,https://static.us-east-1.prod.workshops.aws/public/40de25f9-f9de-4fba-8871-0bf4761d175e/static/images/genai/cat-3.png,image-generation,,,,,,,,,,workshop,2023
Text Generation (AWS Machine Learning Low-Code Immersion Day),https://catalog.us-east-1.prod.workshops.aws/workshops/f560a788-af64-4e5a-a02c-a6c88516ab02/en-US/gen-ai-lab/text-gen,https://static.us-east-1.prod.workshops.aws/public/40de25f9-f9de-4fba-8871-0bf4761d175e/static/images/genai/flan-t5.png,text-generation,summarization-paraphrasing,question-answering,sentiment-analysis,,,,,,,workshop,2023
Flan-T5 foundation model in Amazon SageMaker JumpStart (SageMaker Immersion Day),https://catalog.us-east-1.prod.workshops.aws/workshops/63069e26-921c-4ce1-9cc7-dd882ff62575/en-US/lab9/flan-t5-foundation-model,https://static.us-east-1.prod.workshops.aws/public/b47fa3b3-57fd-4ef6-8a3c-b5b24d8db469/static/lab9b/03.png,text-generation,,,,,,,,,,workshop,2023
Building Generative AI Applications with SageMaker Foundational Models,https://catalog.workshops.aws/building-gen-ai-apps-with-found-models/en-US,https://static.us-east-1.prod.workshops.aws/public/5c925025-38a5-44ee-b3a5-c5627b2310e5/static/build_on_postly_example.png,text-generation,summarization-paraphrasing,,,,,,,,,workshop,2023
Generative AI contents through Amazon Trainium and Inferentia workshop,https://catalog.us-east-1.prod.workshops.aws/workshops/06367dba-1077-4a51-967c-477dbbbb48b1/en-US,https://static.us-east-1.prod.workshops.aws/public/443e7228-60b2-49b9-93f7-6f9e86e68436/static/img/lab-setup.png,text-generation,image-generation,image-to-text-classification,,,,,,,,workshop,2023
Data Science on AWS,https://catalog.us-east-1.prod.workshops.aws/workshops/f772b430-37d0-4adc-ba65-2f3e229caa5c/en-US,https://static.us-east-1.prod.workshops.aws/public/6678c115-29b2-41bb-a1f9-187cb79b1484/static/images/dsoaws-generative-ai-llms-workshop.png,fine-tuning,,,,,,,,,,workshop,2023
Large Generative AI model hosting workshop,https://catalog.us-east-1.prod.workshops.aws/workshops/bb62b5d7-313f-4733-88cd-9c1aa41c724d/en-US,https://static.us-east-1.prod.workshops.aws/public/89b045d1-1c4e-4489-8e7b-990c49e04cb5/static/images/general/Optimization.png,text-generation,image-generation,chat,summarization-paraphrasing,,,,,,,workshop,2023
Generative AI Large Language Model Workshop for Financial Services,https://catalog.us-east-1.prod.workshops.aws/workshops/c8e0f5d8-0658-4345-8b1d-cc637cbdd671/en-US,https://static.us-east-1.prod.workshops.aws/public/eff7ae43-217c-4aee-a634-1fec8c6b7e22/static/images/gfs-llm.jpg,summarization-paraphrasing,sentiment-analysis,classification-NER,fine-tuning,,,,,,,workshop,2023
Generative AI on Amazon SageMaker,https://catalog.us-east-1.prod.workshops.aws/workshops/972fd252-36e5-4eed-8608-743e84957f8e/en-US,https://static.us-east-1.prod.workshops.aws/public/e5cff3b1-856e-47d3-a2a1-81a86df5f5b5/static/lab1/main/ga-000.png,text-generation,image-generation,summarization-paraphrasing,question-answering,fine-tuning,,,,,,workshop,2023
