Content title,URL,Image URL,Use case 1,Use case 2,Use case 3,Use case 4,Use case 5,Use case 6,Use case 7,Use case 8,Use case 9,Use case 10,Content type,Publication date (MM/DD/YYYY)
Amazon Bedrock Workshop,https://github.com/aws-samples/amazon-bedrock-workshop/,https://github.com/aws-samples/amazon-bedrock-workshop/raw/main/10-overview.png,text-generation,summarization-paraphrasing,question-answering,chat,image-generation,,,,,,workshop,2023
"How to access, train, & deploy a Stable Diffusion model ­using Amazon SageMaker JumpStart",https://www.youtube.com/watch?v=7WQPBHAf_Jo,https://img.youtube.com/vi/7WQPBHAf_Jo/maxresdefault.jpg,image-generation,,,,,,,,,,video,03/31/2023
How to fine-tune & deploy a Stable Diffusion model using Amazon SageMaker JumpStart,https://www.youtube.com/watch?v=wMZ9VzGTyJc,https://img.youtube.com/vi/wMZ9VzGTyJc/maxresdefault.jpg,image-generation,,,,,,,,,,video,03/31/2023
Build On Generative AI | DreamBooth with Heiko,https://www.twitch.tv/aws/video/1723455490,,image-generation,,,,,,,,,,video,01/31/2023
Live Call Analytics | Build On Generative AI,https://www.twitch.tv/aws/video/1764149016,,summarization-paraphrasing,question-answering,search,,,,,,,,video,03/13/2023
Generating Anime Characters with Generative AI | Build On Generative AI,https://www.twitch.tv/aws/video/1844454084,,image-generation,,,,,,,,,,video,06/15/2023
Generative AI Applications - Workshop | Build On Weekly,https://www.twitch.tv/aws/video/1805386602,,summarization-paraphrasing,image-generation,,,,,,,,,video,04/27/2023
Build On Generative AI | Stable Diffusion,https://www.twitch.tv/aws/video/1723458659,,image-generation,,,,,,,,,,video,01/30/2023
AI Code Generation with Amazon CodeWhisperer | Build On Generative AI,https://www.twitch.tv/aws/video/1838758252,,code-generation,,,,,,,,,,video,06/15/2023
Build On Generative AI | Model Parallelism,https://www.twitch.tv/aws/video/1730603390,,best-practices,,,,,,,,,,video,02/06/2023
Detect and Mitigate bias in NLP | Build On Generative AI,https://www.twitch.tv/aws/video/1874380802,,best-practices,,,,,,,,,,video,07/18/2023
Responsibility and Security in Generative AI | Build On Live,https://www.twitch.tv/aws/video/1859071465,,best-practices,,,,,,,,,,video,07/05/2023
Reinforcement Learning with Human Feedback | Build On Generative AI,https://www.twitch.tv/aws/video/1826523976,,best-practices,,,,,,,,,,video,05/22/2023
OpenSource LLM Evaluation with HELM | Build On Generative AI,https://www.twitch.tv/aws/video/1802472662,,best-practices,,,,,,,,,,video,04/24/2023
Generative AI as a Service | Build On Generative AI,https://www.twitch.tv/aws/video/1779030313,,best-practices,,,,,,,,,,video,06/15/2023
Training with AWS Trainium | Build On Generative AI,https://www.twitch.tv/aws/video/1757741525,,best-practices,,,,,,,,,,video,03/06/2023
How Forethought saves over 66% in costs for generative AI models using Amazon SageMaker,https://aws.amazon.com/blogs/machine-learning/how-forethought-saves-over-66-in-costs-for-generative-ai-models-using-amazon-sagemaker/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/06/13/forethought-generative-ai-sagemaker.jpg,best-practices,question-answering,,,,,,,,,blog,06/13/2023
Reinventing the data experience: Use generative AI and modern data architecture to unlock insights,https://aws.amazon.com/blogs/machine-learning/reinventing-the-data-experience-use-generative-ai-and-modern-data-architecture-to-unlock-insights/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/06/09/generative-ai-applications-V2.png,question-answering,,,,,,,,,,blog,06/13/2023
Fine-tune GPT-J using an Amazon SageMaker Hugging Face estimator and the model parallel library,https://aws.amazon.com/blogs/machine-learning/fine-tune-gpt-j-using-an-amazon-sagemaker-hugging-face-estimator-and-the-model-parallel-library/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/06/05/ML-8585-tensorp.jpg,best-practices,,,,,,,,,,blog,06/12/2023
"Exploring Generative AI in conversational experiences: An Introduction with Amazon Lex, Langchain, and SageMaker Jumpstart",https://aws.amazon.com/blogs/machine-learning/exploring-generative-ai-in-conversational-experiences-an-introduction-with-amazon-lex-langchain-and-sagemaker-jumpstart/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/06/06/LLM12016-arch_diagram-new-1024x507.png,chat,question-answering,,,,,,,,,blog,06/08/2023
Train a Large Language Model on a single Amazon SageMaker GPU with Hugging Face and LoRA,https://aws.amazon.com/blogs/machine-learning/train-a-large-language-model-on-a-single-amazon-sagemaker-gpu-with-hugging-face-and-lora/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/06/05/train-llm-sagemaker-hugging-face-lora.jpg,best-practices,best-practices,,,,,,,,,blog,06/05/2023
Accelerate your learning towards AWS Certification exams with automated quiz generation using Amazon SageMaker foundations models,https://aws.amazon.com/blogs/machine-learning/accelerate-your-learning-towards-aws-certification-exams-with-automated-quiz-generation-using-amazon-sagemaker-foundations-models/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/05/28/05-AI21-Jurassic-2-Jumbo-Instruct-prompt-output-new.png,text-generation,question-answering,,,,,,,,,blog,05/31/2023
High-quality human feedback for your generative AI applications from Amazon SageMaker Ground Truth Plus,https://aws.amazon.com/blogs/machine-learning/accelerate-your-learning-towards-aws-certification-exams-with-automated-quiz-generation-using-amazon-sagemaker-foundations-models/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/05/26/ML-14314-image005.png,data-labeling,,,,,,,,,,blog,05/30/2023
"Build a powerful question answering bot with Amazon SageMaker, Amazon OpenSearch Service, Streamlit, and LangChain",https://aws.amazon.com/blogs/machine-learning/build-a-powerful-question-answering-bot-with-amazon-sagemaker-amazon-opensearch-service-streamlit-and-langchain/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/05/21/ML-14328-architecture.png,chat,question-answering,,,,,,,,,blog,05/25/2023
Dialogue-guided intelligent document processing with foundation models on Amazon SageMaker JumpStart,https://aws.amazon.com/blogs/machine-learning/dialogue-guided-intelligent-document-processing-with-foundation-models-on-amazon-sagemaker-jumpstart/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/05/16/ml14223-arch.jpg,question-answering,summarization-paraphrasing,,,,,,,,,blog,05/24/2023
Deploy generative AI models from Amazon SageMaker JumpStart using the AWS CDK,https://aws.amazon.com/blogs/machine-learning/deploy-generative-ai-models-from-amazon-sagemaker-jumpstart-using-the-aws-cdk/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/05/15/ML-14182-streamlit-image-gen-02.png,text-generation,,,,,,,,,,blog,05/23/2023
Introducing an image-to-speech Generative AI application using Amazon SageMaker and Hugging Face,https://aws.amazon.com/blogs/machine-learning/introducing-an-image-to-speech-generative-ai-application-using-amazon-sagemaker-and-hugging-face/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/05/13/DescribeForMeRefArc.png,text-generation,image-to-text-classification,,,,,,,,,blog,05/19/2023
Build a serverless meeting summarization backend with large language models on Amazon SageMaker JumpStart,https://aws.amazon.com/blogs/machine-learning/build-a-serverless-meeting-summarization-backend-with-large-language-models-on-amazon-sagemaker-jumpstart/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/05/15/architecture_diagram.png,summarization-paraphrasing,,,,,,,,,,blog,05/17/2023
Announcing new Jupyter contributions by AWS to democratize generative AI and scale ML workloads,https://aws.amazon.com/blogs/machine-learning/announcing-new-jupyter-contributions-by-aws-to-democratize-generative-ai-and-scale-ml-workloads/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/05/09/JupyterCon_social_bxh6udi_1200x628-1024x536.jpg,code-generation,text-generation,,,,,,,,,blog,05/10/2023
Get started with generative AI on AWS using Amazon SageMaker JumpStart,https://aws.amazon.com/blogs/machine-learning/get-started-with-generative-ai-on-aws-using-amazon-sagemaker-jumpstart/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/03/23/ML-13670-genai5a-500.png,text-generation,image-generation,,,,,,,,,blog,05/04/2023
"Quickly build high-accuracy Generative AI applications on enterprise data using Amazon Kendra, LangChain, and large language models",https://aws.amazon.com/blogs/machine-learning/quickly-build-high-accuracy-generative-ai-applications-on-enterprise-data-using-amazon-kendra-langchain-and-large-language-models/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/05/02/ML-13807-image001-new.png,question-answering,summarization-paraphrasing,text-generation,,,,,,,,blog,05/03/2023
Domain-adaptation Fine-tuning of Foundation Models in Amazon SageMaker JumpStart on Financial data,https://aws.amazon.com/blogs/machine-learning/domain-adaptation-fine-tuning-of-foundation-models-in-amazon-sagemaker-jumpstart-on-financial-data/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/04/17/ml-1386-image005.jpg,text-generation,,,,,,,,,,blog,04/18/2023
Deploy large models at high performance using FasterTransformer on Amazon SageMaker,https://aws.amazon.com/blogs/machine-learning/deploy-large-models-at-high-performance-using-fastertransformer-on-amazon-sagemaker/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/04/17/ml-1403-image001.jpg,best-practices,,,,,,,,,,blog,04/17/2023
Announcing New Tools for Building with Generative AI on AWS,https://aws.amazon.com/blogs/machine-learning/announcing-new-tools-for-building-with-generative-ai-on-aws/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/04/13/building-generative-ai-on-aws.png,best-practices,code-generation,text-generation,summarization-paraphrasing,,,,,,,blog,04/13/2023
Inpaint images with Stable Diffusion using Amazon SageMaker JumpStart,https://aws.amazon.com/blogs/machine-learning/inpaint-images-with-stable-diffusion-using-amazon-sagemaker-jumpstart/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/04/10/blog_modified-2.jpg,image-generation,,,,,,,,,,blog,04/10/2023
Zero-shot prompting for the Flan-T5 foundation model in Amazon SageMaker JumpStart,https://aws.amazon.com/blogs/machine-learning/zero-shot-prompting-for-the-flan-t5-foundation-model-in-amazon-sagemaker-jumpstart/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/03/28/all-flan.jpg,text-generation,,,,,,,,,,blog,04/03/2023
Architect personalized generative AI SaaS applications on Amazon SageMaker,https://aws.amazon.com/blogs/machine-learning/architect-personalized-generative-ai-saas-applications-on-amazon-sagemaker/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/03/06/ML-13166-arc-1-1024x576.png,best-practices,,,,,,,,,,blog,03/09/2023
Training large language models on Amazon SageMaker: Best practices,https://aws.amazon.com/blogs/machine-learning/training-large-language-models-on-amazon-sagemaker-best-practices/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/02/27/ml-12814-diagram2.png,best-practices,,,,,,,,,,blog,03/06/2023
Virtual fashion styling with generative AI using Amazon SageMaker,https://aws.amazon.com/blogs/machine-learning/virtual-fashion-styling-with-generative-ai-using-amazon-sagemaker/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/02/22/solution_arch_blog.png,image-generation,,,,,,,,,,blog,03/01/2023
AWS and Hugging Face collaborate to make generative AI more accessible and cost efficient,https://aws.amazon.com/it/blogs/machine-learning/aws-and-hugging-face-collaborate-to-make-generative-ai-more-accessible-and-cost-efficient/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/03/01/virtual-fashion-styling.jpg,best-practices,,,,,,,,,,blog,02/21/2023
Fine-tune text-to-image Stable Diffusion models with Amazon SageMaker JumpStart,https://aws.amazon.com/blogs/machine-learning/fine-tune-text-to-image-stable-diffusion-models-with-amazon-sagemaker-jumpstart/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/02/17/ML-13389-image003.jpg,image-generation,fine-tuning,,,,,,,,,blog,02/20/2023
Scaling Large Language Model (LLM) training with Amazon EC2 Trn1 UltraClusters,https://aws.amazon.com/blogs/machine-learning/scaling-large-language-model-llm-training-with-amazon-ec2-trn1-ultraclusters/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/02/17/ultracluster.png,best-practices,,,,,,,,,,blog,02/16/2023
Implementing MLOps practices with Amazon SageMaker JumpStart pre-trained models,https://aws.amazon.com/blogs/machine-learning/implementing-mlops-practices-with-amazon-sagemaker-jumpstart-pre-trained-models/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/02/06/ML-13252-pipelines.jpg,best-practices,,,,,,,,,,blog,02/15/2023
Scaling distributed training with AWS Trainium and Amazon EKS,https://aws.amazon.com/blogs/machine-learning/scaling-distributed-training-with-aws-trainium-and-amazon-eks/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/01/30/ML-13248-image001.jpg,best-practices,,,,,,,,,,blog,02/01/2023
Upscale images with Stable Diffusion in Amazon SageMaker JumpStart,https://aws.amazon.com/blogs/machine-learning/upscale-images-with-stable-diffusion-in-amazon-sagemaker-jumpstart/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/01/19/ml-12752-image003.jpg,image-generation,,,,,,,,,,blog,01/25/2023
Cohere brings language AI to Amazon SageMaker,https://aws.amazon.com/blogs/machine-learning/cohere-brings-language-ai-to-amazon-sagemaker/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/01/23/ml-13056-image001.png,text-generation,,,,,,,,,,blog,01/25/2023
"New performance improvements in Amazon SageMaker model parallel library
",https://aws.amazon.com/blogs/machine-learning/new-performance-improvements-in-amazon-sagemaker-model-parallel-library/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2022/12/17/Featured-images-for-ml-12792.jpg,best-practices,,,,,,,,,,blog,12/16/2022
LightOn Lyra-fr model is now available on Amazon SageMaker,https://aws.amazon.com/blogs/machine-learning/lighton-lyra-fr-model-is-now-available-on-amazon-sagemaker/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2022/12/14/ml-12773-image003.png,best-practices,,,,,,,,,,blog,12/15/2022
"Stability AI builds foundation models on Amazon SageMaker
",https://aws.amazon.com/blogs/machine-learning/stability-ai-builds-foundation-models-on-amazon-sagemaker/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2022/11/30/ML-12633-image001.png,image-generation,,,,,,,,,,blog,11/30/2022
AI21 Jurassic-1 foundation model is now available on Amazon SageMaker,https://aws.amazon.com/blogs/machine-learning/ai21-jurassic-1-foundation-model-is-now-available-on-amazon-sagemaker/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2022/11/29/ML-12295-image003.png,best-practices,,,,,,,,,,blog,11/30/2022
AlexaTM 20B is now available in Amazon SageMaker JumpStart,https://aws.amazon.com/blogs/machine-learning/alexatm-20b-is-now-available-in-amazon-sagemaker-jumpstart/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2022/11/17/ml-12426-image001-1.png,best-practices,,,,,,,,,,blog,11/17/2022
The role of vector datastores in generative AI applications,https://aws.amazon.com/blogs/database/the-role-of-vector-datastores-in-generative-ai-applications/,https://d2908q01vomqb2.cloudfront.net/887309d048beef83ad3eabf2a79a64a389ab1c9f/2023/07/25/dbblog-3423-image005.png,best-practices,question-answering,,,,,,,,,blog,07/26/2023
Run text generation with Bloom and GPT models on Amazon SageMaker JumpStart,https://aws.amazon.com/blogs/machine-learning/run-text-generation-with-gpt-and-bloom-models-on-amazon-sagemaker-jumpstart/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2022/11/18/Screen-Shot-2022-11-17-at-8.11.04-PM.png,text-generation,,,,,,,,,,blog,11/07/2022
Generate images from text with the stable diffusion model on Amazon SageMaker JumpStart,https://aws.amazon.com/blogs/machine-learning/generate-images-from-text-with-the-stable-diffusion-model-on-amazon-sagemaker-jumpstart/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/02/20/ML-13389-image106.jpg,image-generation,,,,,,,,,,blog,11/07/2022
AlexaTM 20B is now available in Amazon SageMaker JumpStart,https://aws.amazon.com/blogs/machine-learning/alexatm-20b-is-now-available-in-amazon-sagemaker-jumpstart/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2022/11/17/ml-12426-image001-1.png,question-answering,,,,,,,,,,blog,11/17/2022
AI21 Jurassic-1 foundation model is now available on Amazon SageMaker,https://aws.amazon.com/blogs/machine-learning/ai21-jurassic-1-foundation-model-is-now-available-on-amazon-sagemaker/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2022/11/29/ML-12295-image003.png,summarization-paraphrasing,text-generation,question-answering,,,,,,,,blog,11/30/2022
Question answering using Retrieval Augmented Generation with foundation models in Amazon SageMaker JumpStart,https://aws.amazon.com/blogs/machine-learning/question-answering-using-retrieval-augmented-generation-with-foundation-models-in-amazon-sagemaker-jumpstart/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/04/25/ML-13871-image001.jpg,question-answering,,,,,,,,,,blog,05/02/2023
GPT-NeoXT-Chat-Base-20B foundation model for chatbot applications is now available on Amazon SageMaker,https://aws.amazon.com/blogs/machine-learning/gpt-neoxt-chat-base-20b-foundation-model-for-chatbot-applications-is-now-available-on-amazon-sagemaker/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/05/16/gpt-neoxt-chat-base-20b-sagemaker-1024x509.jpg,chat,,,,,,,,,,blog,05/16/2023
Instruction fine-tuning for FLAN T5 XL with Amazon SageMaker Jumpstart,https://aws.amazon.com/blogs/machine-learning/instruction-fine-tuning-for-flan-t5-xl-with-amazon-sagemaker-jumpstart/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/05/16/ML-13873-image002.jpg,question-answering,text-generation,summarization-paraphrasing,,,,,,,,blog,05/22/2023
Perform batch transforms with Amazon SageMaker Jumpstart Text2Text Generation large language models,https://aws.amazon.com/blogs/machine-learning/perform-batch-transforms-with-amazon-sagemaker-jumpstart-text2text-generation-large-language-models/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/05/24/batch-transforms-text2text-sagemaker-1024x514.jpg,best-practices,,,,,,,,,,blog,05/24/2023
"Deploy a serverless ML inference endpoint of large language models using FastAPI, AWS Lambda, and AWS CDK",https://aws.amazon.com/blogs/machine-learning/deploy-a-serverless-ml-inference-endpoint-of-large-language-models-using-fastapi-aws-lambda-and-aws-cdk/,https://d2908q01vomqb2.cloudfront.net/b6692ea5df920cad691c20319a6fffd7a4a766b8/2023/05/15/BDB-2610-solution.png,best-practices,,,,,,,,,,blog,06/23/2023
Use proprietary foundation models from Amazon SageMaker JumpStart in Amazon SageMaker Studio,https://aws.amazon.com/blogs/machine-learning/use-proprietary-foundation-models-from-amazon-sagemaker-jumpstart-in-amazon-sagemaker-studio/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/06/26/ml-14479-image005.png,text-generation,summarization-paraphrasing,,,,,,,,,blog,06/27/2023
Safe image generation and diffusion models with Amazon AI content moderation services,https://aws.amazon.com/blogs/machine-learning/safe-image-generation-and-diffusion-models-with-amazon-ai-content-moderation-services/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/06/15/Screenshot-2023-06-02-at-9.49.07-AM-1024x341.png,image-generation,,,,,,,,,,blog,06/28/2023
Interactively fine-tune Falcon-40B and other LLMs on Amazon SageMaker Studio notebooks using QLoRA,https://aws.amazon.com/blogs/machine-learning/interactively-fine-tune-falcon-40b-and-other-llms-on-amazon-sagemaker-studio-notebooks-using-qlora/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/06/27/ml-14695-tensorboard-metrics.png,fine-tuning,,,,,,,,,,blog,06/29/2023
Integrate SaaS platforms with Amazon SageMaker to enable ML-powered applications,https://aws.amazon.com/it/blogs/machine-learning/integrate-saas-platforms-with-amazon-sagemaker-to-enable-ml-powered-applications/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/06/27/ML-14213-Arch-1-1024x701.jpg,best-practices,,,,,,,,,,blog,07/06/2023
Use a generative AI foundation model for summarization and question answering using your own data,https://aws.amazon.com/blogs/machine-learning/use-a-generative-ai-foundation-model-for-summarization-and-question-answering-using-your-own-data/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/07/07/ml-14024-screenshot.png,summarization-paraphrasing,question-answering,,,,,,,,,blog,07/19/2023
Use generative AI foundation models in VPC mode with no internet connectivity using Amazon SageMaker JumpStart,https://aws.amazon.com/it/blogs/machine-learning/use-generative-ai-foundation-models-in-vpc-mode-with-no-internet-connectivity-using-amazon-sagemaker-jumpstart/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/06/23/14480-sol-arch-latest.png,best-practices,,,,,,,,,,blog,07/25/2023
Use Stable Diffusion XL with Amazon SageMaker JumpStart in Amazon SageMaker Studio,https://aws.amazon.com/blogs/machine-learning/use-stable-diffusion-xl-with-amazon-sagemaker-jumpstart-in-amazon-sagemaker-studio/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/07/26/ml-15160-image018.jpg,image-generation,,,,,,,,,,blog,07/26/2023
Live call analytics and agent assist for your contact center with Amazon language AI services,https://aws.amazon.com/blogs/machine-learning/live-call-analytics-and-agent-assist-for-your-contact-center-with-amazon-language-ai-services/,https://d2908q01vomqb2.cloudfront.net/f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59/2023/02/12/LCA-Architecture.png,summarization-paraphrasing,code-generation,,,,,,,,,blog,05/31/2023
QnABot on AWS,https://aws.amazon.com/solutions/implementations/qnabot-on-aws/,https://github.com/aws-solutions/qnabot-on-aws/blob/main/docs/architecture.png,chat,question-answering,,,,,,,,,solution,07/31/2023
"
Guidance for Natural Language Queries of Relational Databases on AWS",https://aws.amazon.com/solutions/guidance/natural-language-queries-of-relational-databases-on-aws/,https://github.com/aws-solutions-library-samples/guidance-for-natural-language-queries-of-relational-databases-on-aws/raw/main/pics/nlqapp_preview_1.png,question-answering,,,,,,,,,,solution,07/31/2023
